id_accion;mes;vigencia_desde;vigencia_hasta;fuente;tipo_regla;categoria;subcategoria;segmento_cliente_aplica;canal_aplica;vendedores_aplica;lineas_comerciales;productos_marcas;condicion_compra;minimo;unidad_minimo;maximo;unidad_maximo;descuento_pct;bonificacion;tope;combinable;prioridad_motor;estado_validacion;aplica_cierre_mes;aplica_modulo;observaciones
ACJ26-001;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_JUNIO_2026;DESCUENTO_ESCALA;VDA/VDG/ESPUMANTES/SIDRA;Medio, Medio Alto, Alto, Superior;Autoservicio;AS;TODOS_ACTIVOS;"VDA; VDG; Espumantes; Sidra";Según maestro productos activos;"1 a 9 cajas -> 5%; 10 a 20 cajas -> 7%; 20 cajas o más -> 8%";1;caja;;caja;5|7|8;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Regla general AS de acciones de drop.
ACJ26-002;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_JUNIO_2026;DESCUENTO_ESCALA;VDA/VDG/ESPUMANTES/SIDRA;Medio, Medio Alto, Alto, Superior;"Tradicional; Kiosco; On Premise";TRAD_KIOSCO_ON_PREMISE;TODOS_ACTIVOS;"VDA; VDG; Espumantes; Sidra";Según maestro productos activos;"0 a 3 cajas -> 5%; 4 cajas o más -> 8%";0;caja;;caja;5|8;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Regla general TRAD/Kiosco/On Premise de acciones de drop.
ACJ26-003;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_JUNIO_2026;DESCUENTO_ESCALA;VDA/VDG/ESPUMANTES/SIDRA;Medio, Medio Alto, Alto, Superior;"Vinoteca; Tienda de Bebidas";VTK_TDB;TODOS_ACTIVOS;"VDA; VDG; Espumantes; Sidra";Según maestro productos activos;"1 a 5 cajas -> 8%; 6 cajas o más -> 10%";1;caja;;caja;8|10;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Regla específica VTK/TDB.
ACJ26-004;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_JUNIO_2026;DESCUENTO_SIMPLE;RTD;FRIZZE;"Autoservicio; Vinoteca; Tienda de Bebidas";"AS; VTK_TDB";TODOS_ACTIVOS;FRIZZE;FRIZZE;1 pack o más -> 5%;1;pack;;;5;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Regla RTD Frizze para AS y VTK/TDB.
ACJ26-005;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_JUNIO_2026;DESCUENTO_SIMPLE;RTD;FRIZZE;"Tradicional; Kiosco; On Premise";TRAD_KIOSCO_ON_PREMISE;TODOS_ACTIVOS;FRIZZE;FRIZZE;1 a 30 cajas -> 5%;1;caja;30;caja;5;;30 cajas;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;PPTX muestra 1 a 30 cajas en TRAD para Frizze.
ACJ26-006;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_JUNIO_2026;DESCUENTO_SIMPLE;RTD LATAS;Gordons Tonic + Smirnoff BC + Antares;Todos los segmentos;"AS; TRAD_KIOSCO_ON_PREMISE; VTK_TDB";TODOS_ACTIVOS;"Gordons Tonic; Smirnoff BC; Antares";"GORDONS TONIC; Smirnoff Bitter Citric; Smirnoff BC; SMF BC; ANTARES";"Pack o más -> 5%; BC 1 pack o más -> 15%";1;pack;;;5|15;;;NO_ACUMULAR_SIN_VALIDACION;55;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;La subregla BC 15% debe priorizarse si el SKU pertenece a BC.
ACJ26-007;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_JUNIO_2026 + NOTA_GERENCIA;DESCUENTO_SIMPLE;SPIRITS;Locales e importados;Todos los segmentos;"AS; TRAD_KIOSCO_ON_PREMISE; VTK_TDB";TODOS_ACTIVOS;Spirits locales e importados;"Smirnoff; Smirnoff Flavors; Smirnoff BC; Gordon's; Gordon's Flavors; White Horse; J&B Yellow; resto Spirits importados";1 caja o más -> 5%;1;caja;;;5;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Gerencia aclara que NO se diferencia descuento entre Spirits locales e importados: ambos 5% desde 1 caja.
ACJ26-008;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_ESPECIALES + NOTA_GERENCIA;DESCUENTO_ESCALA;INNOVACIONES;Lista cerrada de innovaciones Junio 2026;Cualquier segmento;TODOS;TODOS_ACTIVOS;Innovaciones listadas;"Cazador; Bautismo Cabernet; Alma Mora Low; Alaris Dulce Cosecha Tinto; Sidra Dadá; NC Lata; Don David Red Blend; Blend de Extremos Pinot Noir; Dada Extra Brut; Espumante Medalla";"15% por 3 unidades; 20% por más de 5 bultos; pueden ser surtidos entre innovaciones listadas";3;unidad;;;15|20;;;SURTIDO_SOLO_ENTRE_INNOVACIONES_VALIDAS;80;ACTIVA_CON_LISTA_CERRADA;NO;ACCIONES_COMERCIALES_JUNIO;"No aplicar a todas las innovaciones del maestro; solo a esta lista cerrada tomada de la acción especial."
ACJ26-009;2026-06;2026-06-01;2026-06-30;PPTX_ACCIONES_ESPECIALES;BONIFICACION;SPIRITS;SMIRNOFF 5+1;"On Premise Noche; Bares";"ON_PREMISE_NOCHE; BARES";TODOS_ACTIVOS;Smirnoff;SMIRNOFF;Cada 5 cajas, 1 caja bonificada mientras cumpla segmento;5;caja;;;;5+1 caja;"On Premise Noche: 200 cajas; Bares: 75 cajas";NO_ACUMULAR_SIN_VALIDACION;90;ACTIVA_CON_TOPE_SEGMENTO;NO;ACCIONES_COMERCIALES_JUNIO;"Respetar segmento del cliente; ejemplo explícito del usuario."
ACJ26-010;2026-06;2026-06-01;2026-06-30;PPTX_PLANES_AASS;DESCUENTO_SIMPLE;PLANES_AASS;VDA;Autoservicio con plan AASS;PLANES_AASS;TODOS_ACTIVOS;VDA;Según maestro productos activos;10% sin mínimo y sin topes;0;;;;10;;Sin tope;NO_ACUMULAR_SIN_VALIDACION;70;ACTIVA;NO;ACCIONES_COMERCIALES_JUNIO;Aplicar solo a clientes dentro de planes AASS.
