accion_a,accion_b,vendedores_comunes,canales_comunes,productos_comunes,descuentos,ambas_no_acumulables,estado
ACJ26-001,ACJ26-003,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,ESPUMANTES|SEGÚN MAESTRO PRODUCTOS ACTIVOS|SIDRA|VDA|VDG,5|7|8 vs 8|10,True,PENDIENTE_VALIDACION
ACJ26-001,ACJ26-010,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,5|7|8 vs 10,True,PENDIENTE_VALIDACION
ACJ26-001,ACJ26-014,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,5|7|8 vs 12|15,True,PENDIENTE_VALIDACION
ACJ26-003,ACJ26-010,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,8|10 vs 10,True,PENDIENTE_VALIDACION
ACJ26-003,ACJ26-014,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,8|10 vs 12|15,True,PENDIENTE_VALIDACION
ACJ26-006,ACJ26-007,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO|KIOSCO|ON_PREMISE|TRADICIONAL|VTK_TDB,SMIRNOFF|SMIRNOFF BC,5|15 vs 5,True,PENDIENTE_VALIDACION
ACJ26-006,ACJ26-009,V10|V3|V4|V6|V7|V8|V9,ON_PREMISE,SMIRNOFF,5|15 vs ,True,PENDIENTE_VALIDACION
ACJ26-006,ACJ26-011,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,GORDONS|SMIRNOFF,5|15 vs 10,True,PENDIENTE_VALIDACION
ACJ26-006,ACJ26-015,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,GORDONS|SMIRNOFF,5|15 vs 12|15,True,PENDIENTE_VALIDACION
ACJ26-006,ACJ26-025,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO|VTK_TDB,ANTARES,5|15 vs ,True,PENDIENTE_VALIDACION
ACJ26-007,ACJ26-009,V10|V3|V4|V6|V7|V8|V9,ON_PREMISE,SMIRNOFF,5 vs ,True,PENDIENTE_VALIDACION
ACJ26-007,ACJ26-011,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SMIRNOFF,5 vs 10,True,PENDIENTE_VALIDACION
ACJ26-007,ACJ26-015,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SMIRNOFF,5 vs 12|15,True,PENDIENTE_VALIDACION
ACJ26-010,ACJ26-014,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,10 vs 12|15,True,PENDIENTE_VALIDACION
ACJ26-011,ACJ26-015,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,FLIA GORDONS|FLIA SMIRNOFF|GORDONS|SMIRNOFF,10 vs 12|15,True,PENDIENTE_VALIDACION
ACJ26-012,ACJ26-016,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,DADA|SAN TELMO|SUTER,7 vs 10,True,PENDIENTE_VALIDACION
ACJ26-012,ACJ26-026,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,DADA,7 vs ,True,PENDIENTE_VALIDACION
ACJ26-016,ACJ26-026,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,DADA,10 vs ,True,PENDIENTE_VALIDACION
ACJ26-018,ACJ26-019,V10|V3|V4|V6|V7|V8|V9,ON_PREMISE,ALMA MORA, vs ,True,PENDIENTE_VALIDACION
ACJ26-022,ACJ26-023,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,11 TITULARES|11 TITULARES POR SEGMENTO, vs ,False,PENDIENTE_VALIDACION
