tipo,accion_a,accion_b,vendedores_comunes,canales_comunes,productos_comunes,categorias_comunes,descuentos,ambas_no_acumulables,estado
DIRECTA,ACJ26-001,ACJ26-003,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,ESPUMANTES|SEGÚN MAESTRO PRODUCTOS ACTIVOS|SIDRA|VDA|VDG,ESPUMANTES|SIDRA|VDA|VDG,5|7|8 vs 8|10,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-001,ACJ26-010,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,VDA,5|7|8 vs 10,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-001,ACJ26-012,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,SIDRA|VDA,5|7|8 vs 7,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-001,ACJ26-014,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,VDA,5|7|8 vs 12|15,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-001,ACJ26-016,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,SIDRA|VDA,5|7|8 vs 10,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-001,ACJ26-026,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,VDA,5|7|8 vs ,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-002,ACJ26-017,V3|V4|V6,TRADICIONAL,,VDA,5|8 vs 30,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-002,ACJ26-018,V10|V3|V4|V6|V7|V8|V9,ON_PREMISE,,VDA,5|8 vs ,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-002,ACJ26-019,V10|V3|V4|V6|V7|V8|V9,ON_PREMISE,,VDA,5|8 vs ,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-003,ACJ26-010,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,VDA,8|10 vs 10,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-003,ACJ26-012,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,SIDRA|VDA,8|10 vs 7,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-003,ACJ26-014,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,SEGÚN MAESTRO PRODUCTOS ACTIVOS|VDA,VDA,8|10 vs 12|15,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-003,ACJ26-016,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,SIDRA|VDA,8|10 vs 10,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-003,ACJ26-026,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO|VTK_TDB,,VDA,8|10 vs ,True,PENDIENTE_VALIDACION
