id_accion;mes;vigencia_desde;vigencia_hasta;fuente;tipo_regla;categoria;subcategoria;segmento_cliente_aplica;canal_aplica;vendedores_aplica;lineas_comerciales;productos_marcas;condicion_compra;minimo;unidad_minimo;maximo;unidad_maximo;descuento_pct;bonificacion;tope;combinable;prioridad_motor;estado_validacion;aplica_cierre_mes;aplica_modulo;observaciones;orden_pptx;slide_pptx;bloque_pptx;categoria_tarjeta;detalle_click_ref;detalle_click_origen;mostrar_detalle_click;orden_visual;notas_ui
ACJ26-001;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_ESCALA;VDA/VDG/ESPUMANTES/SIDRA;Medio, Medio Alto, Alto, Superior;Autoservicio;AS;TODOS_ACTIVOS;"VDA; VDG; Espumantes; Sidra";Según maestro productos activos;"1 a 9 cajas -> 6%; 10 a 20 cajas -> 7%; 20 cajas o más -> 8%";1;caja;;caja;6|7|8;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Regla general AS de acciones de drop julio. El detalle de marcas debe resolverse desde maestro de productos activos.;1;1;01_DROP_AS_TRAD;VDA / VDG / Espumantes / Sidra;CAT_VDA|CAT_VDG|CAT_ESPUMANTES|CAT_SIDRA;DETALLE_CATEGORIAS;SI;1;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-002;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_ESCALA;VDA/VDG/ESPUMANTES/SIDRA;Medio, Medio Alto, Alto, Superior;"Tradicional; Kiosco; On Premise";TRAD_KIOSCO_ON_PREMISE;TODOS_ACTIVOS;"VDA; VDG; Espumantes; Sidra";Según maestro productos activos;"0 a 3 cajas -> 6%; 4 cajas o más -> 8%";0;caja;;caja;6|8;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Regla general TRAD/Kiosco/On Premise de acciones de drop julio. El detalle de marcas debe resolverse desde maestro de productos activos.;2;1;01_DROP_AS_TRAD;VDA / VDG / Espumantes / Sidra;CAT_VDA|CAT_VDG|CAT_ESPUMANTES|CAT_SIDRA;DETALLE_CATEGORIAS;SI;2;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-003;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;RTD;DADÁ Tinto Verano;Autoservicio;AS;TODOS_ACTIVOS;RTD;Dadá Tinto Verano;1 pack o más -> 7%;1;pack;;pack;7;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Acción RTD Dadá de Verano AS julio.;3;1;01_DROP_AS_TRAD;RTD;CAT_RTD_DADA_TINTO_VERANO;DETALLE_CATEGORIAS;SI;3;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-004;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;RTD;DADÁ Tinto Verano;"Tradicional; Kiosco; On Premise";TRAD_KIOSCO_ON_PREMISE;TODOS_ACTIVOS;RTD;Dadá Tinto Verano;1 a 30 cajas -> 7%;1;caja;30;caja;7;;30 cajas;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;PPTX julio muestra 1 a 30 cajas para TRAD/Kiosco/On Premise.;4;1;01_DROP_AS_TRAD;RTD;CAT_RTD_DADA_TINTO_VERANO;DETALLE_CATEGORIAS;SI;4;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-005;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;RTD LATAS;Gordons Tonic + SMIR BC + Antares;Autoservicio;AS;TODOS_ACTIVOS;RTD Latas;"Gordons Tonic; Smirnoff BC; Antares";"Pack o más -> 5%; BC 1 pack o más -> 15%";1;pack;;pack;5|15;;;NO_ACUMULAR_SIN_VALIDACION;55;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;La subregla BC 15% debe priorizarse si el SKU pertenece a BC.;5;1;01_DROP_AS_TRAD;RTD (Latas);CAT_RTD_LATAS_GENERAL;DETALLE_CATEGORIAS;SI;5;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-006;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;RTD LATAS;Gordons Tonic + SMIR BC + Antares;"Tradicional; Kiosco; On Premise";TRAD_KIOSCO_ON_PREMISE;TODOS_ACTIVOS;RTD Latas;"Gordons Tonic; Smirnoff BC; Antares";"Pack o más -> 5%; BC 1 pack o más -> 15%";1;pack;;pack;5|15;;;NO_ACUMULAR_SIN_VALIDACION;55;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;La subregla BC 15% debe priorizarse si el SKU pertenece a BC.;6;1;01_DROP_AS_TRAD;RTD (Latas);CAT_RTD_LATAS_GENERAL;DETALLE_CATEGORIAS;SI;6;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-007;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;SPIRITS Y CERVEZA;Excluye importados premium y ultra premium;Autoservicio;AS;TODOS_ACTIVOS;"Spirits; Cerveza";Todos menos importados premium y ultra premium;1 caja o más -> 5%;1;caja;;caja;5;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;No aplicar a importados premium ni ultra premium.;7;1;01_DROP_AS_TRAD;Spirits y Cerveza;CAT_SPIRITS_CERVEZA_NO_IMPORTADOS_PREMIUM_ULTRA;DETALLE_CATEGORIAS;SI;7;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-008;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;SPIRITS Y CERVEZA;Excluye importados premium y ultra premium;"Tradicional; Kiosco; On Premise";TRAD_KIOSCO_ON_PREMISE;TODOS_ACTIVOS;"Spirits; Cerveza";Todos menos importados premium y ultra premium;1 caja o más -> 5%;1;caja;;caja;5;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;No aplicar a importados premium ni ultra premium.;8;1;01_DROP_AS_TRAD;Spirits y Cerveza;CAT_SPIRITS_CERVEZA_NO_IMPORTADOS_PREMIUM_ULTRA;DETALLE_CATEGORIAS;SI;8;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-009;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_ESCALA;VDA/VDG/ESPUMANTES/SIDRA;Medio, Medio Alto, Alto, Superior;"Vinoteca; Tienda de Bebidas";VTK_TDB;TODOS_ACTIVOS;"VDA; VDG; Espumantes; Sidra";Según maestro productos activos;"1 a 5 cajas -> 8%; 6 cajas o más -> 10%";1;caja;;caja;8|10;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Regla específica VTK/TDB julio. El detalle de marcas debe resolverse desde maestro de productos activos.;9;2;02_DROP_VTK_TDB;VDA / VDG / Espumantes / Sidra;CAT_VDA|CAT_VDG|CAT_ESPUMANTES|CAT_SIDRA;DETALLE_CATEGORIAS;SI;9;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
ACJ26-010;2026-07;1/7/2026;31/7/2026;PPTX_ACCIONES_JULIO_2026;DESCUENTO_SIMPLE;RTD;DADÁ Tinto Verano;"Vinoteca; Tienda de Bebidas";VTK_TDB;TODOS_ACTIVOS;RTD;Dadá Tinto Verano;1 pack o más -> 7%;1;pack;;pack;7;;;NO_ACUMULAR_SIN_VALIDACION;50;ACTIVA;NO;ACCIONES_COMERCIALES_JULIO;Acción RTD Dadá Tinto Verano VTK/TDB julio.;10;2;02_DROP_VTK_TDB;RTD;CAT_RTD_DADA_TINTO_VERANO;DETALLE_CATEGORIAS;SI;10;Ordenar tarjetas por orden_visual ASC. Mostrar id_accion y categoria_tarjeta. Click en categoría abre detalle_click_ref.
