Cliente;Direccion;Localidad;FechaComprobante;FechaEntrega;FechaCarga;NroComprobante;TipoDeVenta;Empresa;Codigo;CantBase;ImporteNetoItem;ImporteItem;RazonSocial;MotivoDevolucion;Descuento;CodVendedor;Vendedor;RutaPreventa;Articulo;NetoItem;Reparto;ComentarioInterno;Ramo;Subramo;PrecioCosto;Chofer;valorDescuento;Mon_Simbolo;Mon_Decimales;Proveedor;PesoKg;ImpuestoInterno;CondicionPago;FechaLiquidacion;ComboCodigo;Marca;Linea;Sabor;Calibre;Familia;Rubro;Tags;Promociones;SegmentoRentabilidad;CodSupervisor;NomSupervisor;Origen;ComprobanteReferencia;Etiqueta;VentaDirecta;NumeroVenta;Pendiente;ListaPrecio;Taxonomia;OrdenPreparacion;FechaPreparacion;Bodeguistas;EtiquetaItem
2414;SAN MARTIN-ESPAÑA 0;DEVOTO;12/6/2026;13/6/2026;12/6/2026;FAC-A0006-00066756;Venta;P&P LOGISTICA S.R.L;74884;12;17235,76;20855,27;RINERO MARIA DE LOS ANGELES;;8,00%;10;ORTEGA MILAGROS DESIREE;1050;DADA LATA TINTO VERANO 4X6X355;1436,31;3971;;TRADITIONAL TRADE;Almacen/Despensa;14765,52;BLAS ALMADA;124,9;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;18/6/2026 10:01;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166353;0;Lista General;Almacen/Despensa - P;13467;12/6/2026;20000-MOLINA JUAN;PENAFLOR GRUPO OBJETIVO
581;BULEVARD 9 DE JULIO 9;DEVOTO;12/6/2026;13/6/2026;12/6/2026;FAC-A0006-00066761;Venta;P&P LOGISTICA S.R.L;74884;6;8898,9;10767,67;VILLAGRAN NOEMI LAURA ;;5,00%;10;ORTEGA MILAGROS DESIREE;1050;DADA LATA TINTO VERANO 4X6X355;1483,15;3971;;TRADITIONAL TRADE;Almacen/Despensa;7382,76;BLAS ALMADA;78,06;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;18/6/2026 10:01;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166389;0;Lista General;Almacen/Despensa - P;13472;12/6/2026;20000-MOLINA JUAN;PENAFLOR GRUPO OBJETIVO
2410;SAN MARTIN 231;DEVOTO;12/6/2026;13/6/2026;12/6/2026;FAC-B0006-00014080;Venta;P&P LOGISTICA S.R.L;74884;6;8898,9;10767,67;SOCIEDAD COSMOPOLITA DE SOCORROS  MUTUOS;;5,00%;10;ORTEGA MILAGROS DESIREE;1050;DADA LATA TINTO VERANO 4X6X355;1483,15;3971;;TRADITIONAL TRADE;Autoservicio Tradicional;7382,76;BLAS ALMADA;78,06;$;2;GRUPO PEÑAFLOR SA;0;0;15 días fecha de factura;18/6/2026 10:01;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166340;0;Lista General;Autoservicio Tradicional - P;13463;12/6/2026;20000-MOLINA JUAN;PENAFLOR GRUPO OBJETIVO
660;QUINQUELA MARTIN 0;SAN FRANCISCO;12/6/2026;16/6/2026;12/6/2026;FAC-B0001-00012957;Venta;Empresa;74884;6;9367,26;11334,38;BUSTOS LUCIO SEBASTION;;0,00%;8;ALVAREZ VANESA  KAFF;8050;DADA LATA TINTO VERANO 4X6X355;1561,21;3970;;TRADITIONAL TRADE;Almacen/Despensa;7382,76;BLAS ALMADA;0;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;22/6/2026 09:16;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166316;0;Lista General;Almacen/Despensa - B;13462;12/6/2026;BD-003-VILLAFAÑE MARIANO;PENAFLOR GRUPO OBJETIVO
1357;CABRERA 3936;San Francisco;12/6/2026;16/6/2026;12/6/2026;FAC-B0001-00012958;Venta;Empresa;74884;6;9367,26;11334,38;PAULETTI ANDREA DEL VALLE;;0,00%;8;ALVAREZ VANESA  KAFF;8050;DADA LATA TINTO VERANO 4X6X355;1561,21;3970;;TRADITIONAL TRADE;Kiosco/Maxikiosco;7382,76;BLAS ALMADA;0;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;22/6/2026 09:16;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166339;0;Lista General;Kiosco/Maxikiosco - C;13462;12/6/2026;BD-003-VILLAFAÑE MARIANO;PENAFLOR GRUPO OBJETIVO
815;AV J B JUSTO 546;SAN FRANCISCO;12/6/2026;16/6/2026;12/6/2026;FAC-A0001-00046224;Venta;Empresa;74884;6;8898,9;10767,67;SALDAÑO WALTER SEBASTIAN ;;5,00%;8;ALVAREZ VANESA  KAFF;8050;DADA LATA TINTO VERANO 4X6X355;1483,15;3970;;TRADITIONAL TRADE;Almacen/Despensa;7382,76;BLAS ALMADA;78,06;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;22/6/2026 09:16;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166376;0;Lista General;Almacen/Despensa - B;13466;12/6/2026;BD-003-VILLAFAÑE MARIANO;PENAFLOR GRUPO OBJETIVO
30025;AV. LIBERTADOR SUR 1274;SAN FRANCISCO;12/6/2026;16/6/2026;12/6/2026;FAC-A0001-00046227;Venta;Empresa;74884;6;8898,9;10767,67;DAVID ALEJANDRO CREMASCO;;5,00%;8;ALVAREZ VANESA  KAFF;8050;DADA LATA TINTO VERANO 4X6X355;1483,15;3970;;TRADITIONAL TRADE;Autoservicio Tradicional;7382,76;BLAS ALMADA;78,06;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;22/6/2026 09:16;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166410;0;Lista General;Autoservicio Tradicional - P;13471;12/6/2026;BD-003-VILLAFAÑE MARIANO;PENAFLOR GRUPO OBJETIVO
7602;LA RIOJA 2343;SAN FRANCISCO;12/6/2026;16/6/2026;12/6/2026;FAC-A0001-00046228;Venta;Empresa;74884;6;8898,9;10767,67;BATTAN VANINA CELESTE RITA ;;5,00%;8;ALVAREZ VANESA  KAFF;8050;DADA LATA TINTO VERANO 4X6X355;1483,15;3970;;TRADITIONAL TRADE;Almacen/Despensa;7382,76;BLAS ALMADA;78,06;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;22/6/2026 09:16;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166424;0;Lista General;Almacen/Despensa - B;13471;12/6/2026;BD-003-VILLAFAÑE MARIANO;PENAFLOR GRUPO OBJETIVO
98;AVELLANEDA 1297;San Francisco;12/6/2026;16/6/2026;12/6/2026;FAC-A0001-00046230;Venta;Empresa;74884;6;8898,9;10767,67;BERTOLA CLAUDIA IRENE;;5,00%;8;ALVAREZ VANESA  KAFF;8050;DADA LATA TINTO VERANO 4X6X355;1483,15;3970;;TRADITIONAL TRADE;Almacen/Despensa;7382,76;BLAS ALMADA;78,06;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;22/6/2026 09:16;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166458;0;Lista General;Almacen/Despensa - C;13479;12/6/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO
370;SAN MARTIN 1025;FREYRE;12/6/2026;16/6/2026;12/6/2026;FAC-A0001-00046239;Venta;Empresa;74884;6;8898,9;10767,67;HUANG WEIZHEN;;5,00%;4;GRIBAUDO ANGEL;4050;DADA LATA TINTO VERANO 4X6X355;1483,15;3966;;TRADITIONAL TRADE;Autoservicio Tradicional;7382,76;ACOSTA FACUNDO;78,06;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;18/6/2026 10:06;;Dada;;;;-No Definido-;;PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;166413;0;Lista General;Autoservicio Tradicional - A;13469;12/6/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO
