Cliente;Direccion;Localidad;FechaComprobante;FechaEntrega;FechaCarga;NroComprobante;TipoDeVenta;Empresa;Codigo;CantBase;ImporteNetoItem;ImporteItem;RazonSocial;MotivoDevolucion;Descuento;CodVendedor;Vendedor;RutaPreventa;Articulo;NetoItem;Reparto;ComentarioInterno;Ramo;Subramo;PrecioCosto;Chofer;valorDescuento;Mon_Simbolo;Mon_Decimales;Proveedor;PesoKg;ImpuestoInterno;CondicionPago;FechaLiquidacion;ComboCodigo;Marca;Linea;Sabor;Calibre;Familia;Rubro;Tags;Promociones;SegmentoRentabilidad;CodSupervisor;NomSupervisor;Origen;ComprobanteReferencia;Etiqueta;VentaDirecta;NumeroVenta;Pendiente;ListaPrecio;Taxonomia;OrdenPreparacion;FechaPreparacion;Bodeguistas;EtiquetaItem
826;AVELLANEDA 258;LAS VARILLAS;1/6/2026;2/6/2026;1/6/2026;FAC-A0006-00065689;Venta;P&P LOGISTICA S.R.L;74814;6;15800,82;19118,99;MARTINEZ RODRIGO ;;15,00%;8;ALVAREZ VANESA  KAFF;8010;CAZADOR MALBEC 6X750;2633,47;3911;;TRADITIONAL TRADE;Autoservicio Tradicional;14651,04;ACOSTA FACUNDO;464,73;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;4/6/2026 16:26;;cazador;;;;;Vinos del Año;%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;164361;0;Lista General;Autoservicio Tradicional - P;13266;1/6/2026;20000-MOLINA JUAN;PENAFLOR GRUPO OBJETIVO, 20
2752;OLMOS 368;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065713;Venta;P&P LOGISTICA S.R.L;14620;6;11481,23;13892,28;SANMARTINO EVA;;5,00%;10;ORTEGA MILAGROS DESIREE;1051;FRIZZE MANXANA POP 6X1000;1913,54;3907;;TRADITIONAL TRADE;Kiosco/Maxikiosco;9525,18;DELGADO MAYCO JOAQUIN;100,71;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;5/6/2026 11:05;;Frizze;RTD (S);;;;RTD (S);%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;163654;0;Lista General;Kiosco/Maxikiosco - A;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 20
2752;OLMOS 368;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065713;Venta;P&P LOGISTICA S.R.L;14583;6;11481,23;13892,28;SANMARTINO EVA;;5,00%;10;ORTEGA MILAGROS DESIREE;1051;FRIZZE EVOL BLUE NEW X1000;1913,54;3907;;TRADITIONAL TRADE;Kiosco/Maxikiosco;9525,18;DELGADO MAYCO JOAQUIN;100,71;$;2;GRUPO PEÑAFLOR SA;6;0;Contado;5/6/2026 11:05;;Frizze;RTD (S);No definido;;;RTD (S);%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;163654;0;Lista General;Kiosco/Maxikiosco - A;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 20
2752;OLMOS 368;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065713;Venta;P&P LOGISTICA S.R.L;30020;6;39482,93;47774,35;SANMARTINO EVA;;6,00%;10;ORTEGA MILAGROS DESIREE;1051;SMIRNOFF GREEN APPLE DO 6X700;6580,49;3907;;TRADITIONAL TRADE;Kiosco/Maxikiosco;33104,46;DELGADO MAYCO JOAQUIN;420,03;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;5/6/2026 11:05;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;163654;0;Lista General;Kiosco/Maxikiosco - A;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
2752;OLMOS 368;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065713;Venta;P&P LOGISTICA S.R.L;30022;6;39482,93;47774,35;SANMARTINO EVA;;6,00%;10;ORTEGA MILAGROS DESIREE;1051;SMIRNOFF RASPBERRY DO 6X700;6580,49;3907;;TRADITIONAL TRADE;Kiosco/Maxikiosco;33104,46;DELGADO MAYCO JOAQUIN;420,03;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;5/6/2026 11:05;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;163654;0;Lista General;Kiosco/Maxikiosco - A;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
2752;OLMOS 368;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065713;Venta;P&P LOGISTICA S.R.L;30131;6;39482,93;47774,35;SANMARTINO EVA;;6,00%;10;ORTEGA MILAGROS DESIREE;1051;SMIRNOFF TROPICAL FRUITS 6X700;6580,49;3907;;TRADITIONAL TRADE;Kiosco/Maxikiosco;33104,46;DELGADO MAYCO JOAQUIN;420,03;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;5/6/2026 11:05;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;163654;0;Lista General;Kiosco/Maxikiosco - A;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
2353;COLON 150;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065716;Venta;P&P LOGISTICA S.R.L;30020;6;37802,81;46875,48;HONG CINTHIA;;10,00%;10;ORTEGA MILAGROS DESIREE;1051;SMIRNOFF GREEN APPLE DO 6X700;6300,47;3907;;TRADITIONAL TRADE;Autoservicio Tradicional;33104,46;DELGADO MAYCO JOAQUIN;700,05;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;5/6/2026 11:05;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;164014;0;Lista General;Autoservicio Tradicional - C;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
2353;COLON 150;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065716;Venta;P&P LOGISTICA S.R.L;30131;6;37802,81;46875,48;HONG CINTHIA;;10,00%;10;ORTEGA MILAGROS DESIREE;1051;SMIRNOFF TROPICAL FRUITS 6X700;6300,47;3907;;TRADITIONAL TRADE;Autoservicio Tradicional;33104,46;DELGADO MAYCO JOAQUIN;700,05;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;5/6/2026 11:05;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;164014;0;Lista General;Autoservicio Tradicional - C;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
2353;COLON 150;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065716;Venta;P&P LOGISTICA S.R.L;35101;6;37802,81;46875,48;HONG CINTHIA;;10,00%;10;ORTEGA MILAGROS DESIREE;1051;SMIRNOFF BC ORANGE & LIME 6X700;6300,47;3907;;TRADITIONAL TRADE;Autoservicio Tradicional;33104,64;DELGADO MAYCO JOAQUIN;700,05;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;5/6/2026 11:05;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;164014;0;Lista General;Autoservicio Tradicional - C;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
2353;COLON 150;TRANSITO;1/6/2026;2/6/2026;29/5/2026;FAC-A0006-00065716;Venta;P&P LOGISTICA S.R.L;35093;6;37802,81;46875,48;HONG CINTHIA;;10,00%;10;ORTEGA MILAGROS DESIREE;1051;SMIRNOFF BC GRAPEF.&LIME 6X700;6300,47;3907;;TRADITIONAL TRADE;Autoservicio Tradicional;33104,64;DELGADO MAYCO JOAQUIN;700,05;$;2;GRUPO PEÑAFLOR SA;4,2;0;Contado;5/6/2026 11:05;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;164014;0;Lista General;Autoservicio Tradicional - C;13236;29/5/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
