Cliente;Direccion;Localidad;FechaComprobante;FechaEntrega;FechaCarga;NroComprobante;TipoDeVenta;Empresa;Codigo;CantBase;ImporteNetoItem;ImporteItem;RazonSocial;MotivoDevolucion;Descuento;CodVendedor;Vendedor;RutaPreventa;Articulo;NetoItem;Reparto;ComentarioInterno;Ramo;Subramo;PrecioCosto;Chofer;valorDescuento;Mon_Simbolo;Mon_Decimales;Proveedor;PesoKg;ImpuestoInterno;CondicionPago;FechaLiquidacion;ComboCodigo;Marca;Linea;Sabor;Calibre;Familia;Rubro;Tags;Promociones;SegmentoRentabilidad;CodSupervisor;NomSupervisor;Origen;ComprobanteReferencia;Etiqueta;VentaDirecta;NumeroVenta;Pendiente;ListaPrecio;Taxonomia;OrdenPreparacion;FechaPreparacion;Bodeguistas;EtiquetaItem
334;RAUL ALFONSIN 254;BRINKMANM;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068301;Venta;P&P LOGISTICA S.R.L;30019;3;19269,18;23315,71;VERNETTI DANIEL FERNANDO;;0,00%;4;GRIBAUDO ANGEL;4030;SMIRNOFF 21 DO 12X700;6423,06;4094;;TRADITIONAL TRADE;Autoservicio Tradicional;15186,93;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;2,1;0;Contado;6/7/2026 08:38;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171058;0;Lista General;Autoservicio Tradicional - D;13774;1/7/2026;20000-MOLINA JUAN;PENAFLOR GRUPO OBJETIVO, 10, 20
468;BROWN-MARMOL 1;BRINKMANN;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068317;Venta;P&P LOGISTICA S.R.L;72859;3;8080,77;9777,73;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;F.LAS MORAS MALBEC 6X750;2693,59;4094;;TRADITIONAL TRADE;Autoservicio Tradicional;6365,64;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/7/2026 08:38;;Finca Las Moras;Medio Alto;No definido;;;Vinos del Año;%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171179;0;Lista General;Autoservicio Tradicional - D;13782;1/7/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 20
468;BROWN-MARMOL 1;BRINKMANN;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068317;Venta;P&P LOGISTICA S.R.L;72857;3;8080,77;9777,73;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;F.LAS MORAS CABSAU 6X750 ;2693,59;4094;;TRADITIONAL TRADE;Autoservicio Tradicional;6368,82;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/7/2026 08:38;;Finca Las Moras;Medio Alto;No definido;;;Vinos del Año;%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171179;0;Lista General;Autoservicio Tradicional - D;13782;1/7/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 20
468;BROWN-MARMOL 1;BRINKMANN;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068317;Venta;P&P LOGISTICA S.R.L;74570;3;18505,32;22391,44;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;LOS INTOCABLES MALBEC 6X750;6168,44;4094;;TRADITIONAL TRADE;Autoservicio Tradicional;14577,6;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/7/2026 08:38;;Los Intocables;Premium;No definido;;;Vino de Guarda;%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171179;0;Lista General;Autoservicio Tradicional - D;13782;1/7/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 20
468;BROWN-MARMOL 1;BRINKMANN;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068317;Venta;P&P LOGISTICA S.R.L;14507;3;9388,59;11360,19;SCALERANDI ALAN GABRIEL;;0,00%;4;GRIBAUDO ANGEL;4030;EL BAUTISMO MALBEC 6X750 ;3129,53;4094;;TRADITIONAL TRADE;Autoservicio Tradicional;7399,56;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/7/2026 08:38;;El Bautismo;Medio Alto;No definido;;;Vinos del Año;%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171179;0;Lista General;Autoservicio Tradicional - D;13782;1/7/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 20
886;Comuna de Giaveno 61;BRINKMANN;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068319;Venta;P&P LOGISTICA S.R.L;35103;24;36942,48;44700,4;BUSTOS GERARDO GABRIEL ;;25,00%;4;GRIBAUDO ANGEL;4030;SMIRNOFF ICE LATA 4X6X473;1539,27;4094;Venta modificada el 2026-07-01 15:47:27;TRADITIONAL TRADE;Almacen/Despensa;38821,44;ACOSTA FACUNDO;513,09;$;2;GRUPO PEÑAFLOR SA;11,352;0;Contado;6/7/2026 08:38;;Smirnoff Ice;RTD (s);No definido;;;RTD (S);%10,%20,PEÑAFLOR GRUPO OBJETIVO;19,21;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171192;0;Lista General;Almacen/Despensa - A;13786;1/7/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
886;Comuna de Giaveno 61;BRINKMANN;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068319;Venta;P&P LOGISTICA S.R.L;35104;12;24628,32;29800,27;BUSTOS GERARDO GABRIEL ;;0,00%;4;GRIBAUDO ANGEL;4030;SMF ICE GREENAPPLE LAT 4X6X473;2052,36;4094;Venta modificada el 2026-07-01 15:47:27;TRADITIONAL TRADE;Almacen/Despensa;19410,72;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;5,676;0;Contado;6/7/2026 08:38;;Smirnoff Ice Flavours;RTD (s);No definido;;;RTD (S);%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171192;0;Lista General;Almacen/Despensa - A;13786;1/7/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
886;Comuna de Giaveno 61;BRINKMANN;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068319;Venta;P&P LOGISTICA S.R.L;35105;12;24628,32;29800,27;BUSTOS GERARDO GABRIEL ;;0,00%;4;GRIBAUDO ANGEL;4030;SMF ICE RED BERRIE LAT 4X6X473;2052,36;4094;Venta modificada el 2026-07-01 15:47:27;TRADITIONAL TRADE;Almacen/Despensa;19410,72;ACOSTA FACUNDO;0;$;2;GRUPO PEÑAFLOR SA;5,676;0;Contado;6/7/2026 08:38;;Smirnoff Ice Flavours;RTD (s);No definido;;;RTD (S);%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171192;0;Lista General;Almacen/Despensa - A;13786;1/7/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 10, 20
886;Comuna de Giaveno 61;BRINKMANN;1/7/2026;2/7/2026;1/7/2026;FAC-A0006-00068319;Venta;P&P LOGISTICA S.R.L;14583;6;11825,68;14309,07;BUSTOS GERARDO GABRIEL ;;5,00%;4;GRIBAUDO ANGEL;4030;FRIZZE EVOL BLUE NEW X1000;1970,95;4094;Venta modificada el 2026-07-01 15:47:27;TRADITIONAL TRADE;Almacen/Despensa;9810,9;ACOSTA FACUNDO;103,73;$;2;GRUPO PEÑAFLOR SA;6;0;Contado;6/7/2026 08:38;;Frizze;RTD (S);No definido;;;RTD (S);%20,PEÑAFLOR GRUPO OBJETIVO;21;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;171192;0;Lista General;Almacen/Despensa - A;13786;1/7/2026;002-SENN ENZO;PENAFLOR GRUPO OBJETIVO, 20
2272;RAFAEL BIANCHI 597;ARROYITO;1/7/2026;2/7/2026;30/6/2026;FAC-A0006-00068329;Venta;P&P LOGISTICA S.R.L;74504;3;9044,83;10944,25;MANCINI GRACIELA BEATRIZ;;20,00%;10;ORTEGA MILAGROS DESIREE;1020;DADA ART MALBEC 6X750;3014,94;4089;;TRADITIONAL TRADE;Almacen/Despensa;8910,81;DELGADO MAYCO JOAQUIN;753,74;$;2;GRUPO PEÑAFLOR SA;2,25;0;Contado;6/7/2026 11:45;;Dada;Alto;No definido;;;Vinos del Año;%20,PEÑAFLOR GRUPO OBJETIVO;21;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;170817;0;Lista General;Almacen/Despensa - D;13769;1/7/2026;20000-MOLINA JUAN;PENAFLOR GRUPO OBJETIVO, 20
