cliente,mes,cantidad
1,2025-09,0.0
1,2025-10,0.0
1,2025-11,0.0
1,2025-12,0.0
1,2026-01,0.0
4,2025-01,0.0
4,2025-02,0.0
4,2025-03,0.0
4,2025-04,0.0
4,2025-05,0.0
4,2025-06,0.0
4,2025-07,0.0
4,2025-08,0.0
4,2025-09,0.0
4,2025-10,0.0
4,2025-11,0.0
4,2025-12,0.0
4,2026-01,0.0
4,2026-02,0.0
7,2025-01,0.0
7,2025-02,0.0
7,2025-04,0.0
7,2025-05,0.0
7,2025-07,0.0
7,2025-09,0.0
7,2025-10,0.0
7,2026-01,0.0
7,2026-02,0.0
7,2026-03,0.0
10,2025-01,0.0
10,2025-02,0.0
10,2025-04,0.0
10,2025-05,0.0
10,2025-06,0.0
10,2025-07,0.0
10,2025-09,0.0
10,2025-10,0.0
10,2026-01,0.0
10,2026-02,0.0
10,2026-03,0.0
12,2025-01,0.0
12,2025-02,0.0
12,2025-03,0.0
12,2025-04,0.0
12,2025-07,0.0
14,2025-01,0.0
14,2025-02,0.0
14,2025-03,0.0
14,2025-04,0.0
15,2026-01,0.0
15,2026-02,0.0
15,2026-03,0.0
16,2025-01,0.0
16,2025-02,0.0
16,2025-03,0.0
16,2025-04,0.0
16,2025-05,0.0
16,2025-06,0.0
16,2025-07,0.0
16,2025-08,0.0
16,2025-09,0.0
16,2025-10,0.0
16,2025-11,0.0
16,2025-12,0.0
16,2026-01,0.0
16,2026-02,0.0
16,2026-03,0.0
19,2025-01,0.0
19,2025-02,0.0
19,2025-03,0.0
19,2025-04,0.0
19,2025-05,0.0
19,2025-06,0.0
19,2025-07,0.0
19,2025-08,0.0
19,2025-09,0.0
19,2025-10,0.0
19,2025-11,0.0
19,2025-12,0.0
19,2026-01,0.0
19,2026-02,0.0
20,2025-01,0.0
20,2025-02,0.0
20,2025-03,0.0
20,2025-04,0.0
20,2025-05,0.0
20,2025-06,0.0
20,2025-07,0.0
20,2025-08,0.0
20,2025-09,0.0
21,2025-01,0.0
21,2025-02,0.0
21,2025-03,0.0
21,2025-04,0.0
21,2025-05,0.0
21,2025-06,0.0
21,2025-07,0.0
21,2025-08,0.0
21,2025-09,0.0
21,2025-10,0.0
21,2025-11,0.0
21,2025-12,0.0
21,2026-01,0.0
21,2026-02,0.0
21,2026-03,0.0
22,2025-01,0.0
22,2025-02,0.0
22,2025-04,0.0
22,2025-05,0.0
22,2025-07,0.0
22,2025-09,0.0
22,2025-10,0.0
22,2025-11,0.0
22,2025-12,0.0
22,2026-01,0.0
22,2026-02,0.0
22,2026-03,0.0
23,2025-02,0.0
23,2025-03,0.0
23,2025-04,0.0
23,2025-07,0.0
23,2025-09,0.0
23,2026-01,0.0
23,2026-02,0.0
24,2025-01,0.0
24,2025-02,0.0
24,2025-03,0.0
24,2025-04,0.0
24,2025-05,0.0
24,2025-06,0.0
24,2025-07,0.0
24,2025-08,0.0
24,2025-09,0.0
24,2025-10,0.0
24,2025-11,0.0
24,2025-12,0.0
24,2026-01,0.0
24,2026-02,0.0
24,2026-03,0.0
25,2025-01,0.0
25,2025-02,0.0
25,2025-03,0.0
25,2025-04,0.0
25,2025-05,0.0
25,2025-06,0.0
25,2025-07,0.0
25,2025-10,0.0
25,2025-11,0.0
25,2025-12,0.0
25,2026-01,0.0
25,2026-02,0.0
25,2026-03,0.0
26,2025-01,0.0
26,2025-02,0.0
26,2025-03,0.0
26,2025-04,0.0
26,2025-05,0.0
26,2025-06,0.0
26,2025-07,0.0
26,2025-08,0.0
26,2025-09,0.0
26,2025-10,0.0
26,2025-11,0.0
26,2025-12,0.0
26,2026-01,0.0
26,2026-02,0.0
26,2026-03,0.0
27,2025-02,0.0
27,2025-03,0.0
27,2025-05,0.0
27,2025-06,0.0
27,2025-10,0.0
27,2025-11,0.0
27,2025-12,0.0
27,2026-01,0.0
27,2026-02,0.0
27,2026-03,0.0
29,2025-01,0.0
29,2025-05,0.0
29,2025-09,0.0
30,2025-01,0.0
30,2025-02,0.0
30,2025-03,0.0
30,2025-04,0.0
30,2025-05,0.0
30,2025-06,0.0
30,2025-07,0.0
30,2025-08,0.0
30,2025-10,0.0
30,2025-12,0.0
30,2026-02,0.0
30,2026-03,0.0
31,2025-01,0.0
31,2025-03,0.0
31,2025-04,0.0
31,2025-05,0.0
31,2025-07,0.0
31,2025-08,0.0
31,2025-09,0.0
31,2025-10,0.0
31,2025-12,0.0
31,2026-02,0.0
32,2025-01,0.0
32,2025-02,0.0
32,2025-03,0.0
32,2025-04,0.0
32,2025-05,0.0
32,2025-06,0.0
32,2025-07,0.0
32,2025-08,0.0
32,2025-10,0.0
32,2025-11,0.0
32,2025-12,0.0
32,2026-01,0.0
32,2026-03,0.0
33,2025-01,0.0
33,2025-02,0.0
33,2025-03,0.0
33,2025-04,0.0
33,2025-05,0.0
33,2025-06,0.0
33,2025-07,0.0
33,2025-08,0.0
