cliente,producto,cantidad
1,ALMA MORA BLEND DULCE 6X 750,300
1,ALMA MORA CHARD 6X750,276
1,ALMA MORA MALBEC 6X750,684
1,ALMA MORA SYRAH 6X750,60
1,BAILEYS NUEVA BOTELLA 12x750,12
1,DADA FMORAS N°2 6X750 ,60
1,DADA FMORAS N°3 6X750,120
1,DADA N°8 CHOCOLATE 6X750 ,84
1,DADA N°9 CARAMEL 6X750,168
1,DADA WHITE MALBEC 6X750,84
1,ELEMENTOS TORRONTES 6X750 ,216
1,F.LAS MORAS MALBEC 6X750,168
1,J&B YELLOW 6X750,120
1,JW BLACK LABEL 12x750,36
1,JW DOUBLE BLACK 6x750,6
1,LOS ARBOLES SEL MALBEC 6X750,240
1,LOS INTOCABLES MALBEC 6X750,6
1,NC SPARK DLCE 6X750,90
1,SMF ICE GREENAPPLE LAT 4X6X473,2112
1,SMF ICE RED BERRIE LAT 4X6X473,3768
1,SMIRNOFF GREEN APPLE DO 6X700,90
1,SMIRNOFF RASPBERRY DO 6X700,900
1,WHITE HORSE DO 12X750,180
3,ALMA MORA MALBEC 6X750,6
3,SMIRNOFF GREEN APPLE DO 6X700,3
4,ALMA MORA MALBEC 6X750,3
7,ALMA MORA MALBEC 6X750,3
7,FRIZZE EVOL BLUE NEW X1000,3
7,SMIRNOFF GREEN APPLE DO 6X700,3
7,TRAPICHE ALARIS MALBEC 6X750,3
8,ALMA MORA MALBEC 6X750,3
8,DADA FMORAS N°1 6X750,3
8,LOS ARBOLES SEL MALBEC 6X750,3
9,SMF ICE GREENAPPLE LAT 4X6X473,-3
9,SMF ICE RED BERRIE LAT 4X6X473,-3
10,ALMA MORA MALBEC 6X750,3
10,FRIZZE EVOL BLUE NEW X1000,3
10,SMIRNOFF RASPBERRY DO 6X700,3
10,TRAPICHE ALARIS MALBEC 6X750,3
12,FRIZZE BLUE LATA X473,6
12,GORDON´S TONIC 4X6X473,6
12,SMF  BC GRAPEF&LIME  LATA 4X6X473,24
12,SMF BC RUBYORANGE&LIME LATA 4X6X473,24
12,SMF ICE GREENAPPLE LAT 4X6X473,36
12,SMF ICE RED BERRIE LAT 4X6X473,36
14,ALMA MORA MALBEC 6X750,6
14,ANTARES MICRO IPA 25 AÑOS,6
14,DADA ART MALBEC 6X750,6
14,DADA ESPUMANTE MARACUYA 6X750,6
14,DADA FMORAS N°1 6X750,0
14,ELEMENTOS MALBEC 6X750 ,6
14,F.LAS MORAS MALBEC 6X750,0
14,FOND CAVE MALBEC 6X750 ,0
14,FRIZZE EVOL BLUE NEW X1000,6
14,GORDON´S GIN 6x700,6
14,LOS ARBOLES SEL MALBEC 6X750,6
14,LOS INTOCABLES MALBEC 6X750,3
14,NC SPARK EBRUT 6X750 estuche,6
14,ORIGEN BY TRAPICHE MALBEC 6X750,0
14,SAN TELMO SPARK DULCE 6X750,6
14,SMIRNOFF RASPBERRY DO 6X700,6
14,TRAPICHE ALARIS MALBEC 6X750,6
14,TRAPICHE RESERVA MALBEC 6X750,3
15,ALMA MORA MALBEC 6X750,180
15,DADA ART CABERNET 6X750 ,60
15,DADA FMORAS N°1 6X750,120
15,DADA FMORAS N°2 6X750 ,-30
15,ELEMENTOS TORRONTES 6X750 ,114
15,GORDON´S GIN 6x700,90
15,JW BLACK LABEL 12x750,24
15,JW DOUBLE BLACK 6x750,12
15,JW RED 12X750 UK,24
15,SMIRNOFF 21 DO 12X700,60
15,SMIRNOFF GREEN APPLE DO 6X700,180
15,SMIRNOFF RASPBERRY DO 6X700,240
16,ALMA MORA MALBEC 6X750,3
16,DADA ESPUMANTE 6X750 ,3
16,FRIZZE BLUE LATA X473,6
16,FRIZZE EVOL BLUE NEW X1000,6
16,SMF ICE RED BERRIE LAT 4X6X473,12
16,SMIRNOFF TAMARINDO 6 X 700,6
16,TRAPICHE ALARIS MALBEC 6X750,3
19,ALMA MORA MALBEC 6X750,3
20,ALMA MORA MALBEC 6X750,3
21,ALMA MORA BLEND BLANCO 6X750,18
21,ALMA MORA BLEND DULCE 6X 750,12
21,ALMA MORA CHARD 6X750,6
21,ALMA MORA MALBEC 6X750,365
21,ALMA MORA MERLOT 6X750,6
21,BAILEYS NUEVA BOTELLA 12x750,6
21,DADA 7 SWEET  6X750,30
21,DADA ART MALBEC 6X750,54
21,DADA ESPUMANTE MARACUYA 6X750,84
21,DADA ESPUMANTE ROS6X750 ,-6
21,DADA FMORAS N°1 6X750,6
21,FOND CAVE MALBEC 6X750 ,18
21,FRIZZE BUBBLE MOOD 6X1000,30
21,FRIZZE EVOL BLUE NEW X1000,132
21,GORDON´S GIN 6x700,18
21,GORDON´S PINK GIN 6X700,60
21,J&B YELLOW 6X750,12
21,JW BLACK LABEL 12x1000,6
21,JW BLACK LABEL 12x750,6
21,LOS ARBOLES SEL MALBEC 6X750,48
21,NC SPARK EBRUT 6X750 nuevo,-12
21,ORIGEN BY TRAPICHE MALBEC 6X750,66
21,SMF  BC GRAPEF&LIME  LATA 4X6X473,48
21,SMF BC RUBYORANGE&LIME LATA 4X6X473,48
21,SMF ICE GREENAPPLE LAT 4X6X473,144
21,SMF ICE RED BERRIE LAT 4X6X473,324
21,SMIRNOFF 21 DO 12X700,24
21,SMIRNOFF BC GRAPEF.&LIME 6X700,36
21,SMIRNOFF BC ORANGE & LIME 6X700,6
21,SMIRNOFF GREEN APPLE DO 6X700,144
21,SMIRNOFF ICE LATA 4X6X473,180
21,SMIRNOFF RASPBERRY DO 6X700,684
21,SMIRNOFF TAMARINDO 6 X 700,18
21,SMIRNOFF TROPICAL FRUITS 6X700,54
21,SMIRNOFF WATERMELON 6X700,72
21,TRAPICHE ALARIS DULCE COSECHA 6X750,108
21,TRAPICHE ALARIS MALBEC 6X750,36
21,TRAPICHE RESERVA CABSAU 6X750 ,30
21,TRAPICHE RESERVA MALBEC 6X750,24
21,WHITE HORSE DO 12X750,60
22,DADA ESPUMANTE MARACUYA 6X750,16
22,FRIZZE EVOL BLUE NEW X1000,40
22,SMF ICE RED BERRIE LAT 4X6X473,24
22,SMIRNOFF GREEN APPLE DO 6X700,63
22,SMIRNOFF RASPBERRY DO 6X700,90
22,SMIRNOFF TROPICAL FRUITS 6X700,30
23,ALMA MORA MALBEC 6X750,3
23,ELEMENTOS MALBEC 6X750 ,3
23,FRIZZE BLUE LATA X473,6
23,SMF ICE RED BERRIE LAT 4X6X473,18
24,ALMA MORA MALBEC 6X750,3
24,DADA ESPUMANTE 6X750 ,3
24,TRAPICHE ALARIS MALBEC 6X750,3
25,ALMA MORA MALBEC 6X750,3
25,ELEMENTOS MALBEC 6X750 ,3
25,FRIZZE EVOL BLUE NEW X1000,6
25,SMF  BC GRAPEF&LIME  LATA 4X6X473,6
25,SMF ICE GREENAPPLE LAT 4X6X473,36
25,SMF ICE RED BERRIE LAT 4X6X473,54
25,SMIRNOFF GREEN APPLE DO 6X700,6
25,SMIRNOFF ICE LATA 4X6X473,0
25,SMIRNOFF RASPBERRY DO 6X700,6
26,ALMA MORA BLEND DULCE 6X 750,3
26,ALMA MORA MALBEC 6X750,33
26,CAZADOR BLANCO DULCE 6X750,3
26,CAZADOR MALBEC 6X750,9
26,DADA ART MALBEC 6X750,3
26,F.LAS MORAS MALBEC 6X750,3
26,FRIZZE BLUE LATA X473,12
26,FRIZZE EVOL BLUE NEW X1000,12
26,GORDONS  TROPICAL FRUITS 6X700,1
26,GORDON´S PINK GIN 6X700,1
26,GORDON´S TONIC 4X6X473,6
26,INTOCABLES DOUBLE OAK 6 X 750,3
26,SMF ICE GREENAPPLE LAT 4X6X473,6
26,SMF ICE RED BERRIE LAT 4X6X473,6
26,SMIRNOFF GREEN APPLE DO 6X700,3
26,SMIRNOFF RASPBERRY DO 6X700,3
27,ALMA MORA MALBEC 6X750,3
