cliente,volumen_total,ultima_compra
1,0.0,2026-01-20
4,0.0,2026-02-23
7,0.0,2026-03-11
10,0.0,2026-03-11
12,0.0,2025-07-25
14,0.0,2025-04-30
15,0.0,2026-03-14
16,0.0,2026-03-19
19,0.0,2026-02-20
20,0.0,2025-09-18
21,0.0,2026-03-27
22,0.0,2026-03-13
23,0.0,2026-02-05
24,0.0,2026-03-19
25,0.0,2026-03-20
26,0.0,2026-03-24
27,0.0,2026-03-31
29,0.0,2025-09-19
30,0.0,2026-03-17
31,0.0,2026-02-26
32,0.0,2026-03-11
33,0.0,2026-03-11
34,0.0,2026-02-23
35,0.0,2026-03-31
36,0.0,2026-03-17
37,0.0,2026-03-31
38,0.0,2026-03-19
40,0.0,2026-03-11
41,0.0,2026-03-19
43,0.0,2025-07-31
44,0.0,2026-02-23
45,0.0,2026-03-30
46,0.0,2026-03-31
47,0.0,2025-11-20
48,0.0,2025-09-25
49,0.0,2026-03-31
51,0.0,2026-03-19
52,0.0,2026-01-14
53,0.0,2026-03-26
54,0.0,2026-02-25
55,0.0,2026-03-31
56,0.0,2026-02-23
57,0.0,2026-03-17
58,0.0,2026-02-23
59,0.0,2026-03-13
60,0.0,2026-02-09
62,0.0,2026-03-30
63,0.0,2025-03-13
64,0.0,2026-03-19
67,0.0,2026-02-23
68,0.0,2025-01-24
69,0.0,2026-02-25
70,0.0,2026-03-26
71,0.0,2026-03-31
72,0.0,2025-07-04
73,0.0,2026-03-19
74,0.0,2026-02-23
75,0.0,2026-03-31
77,0.0,2026-03-17
78,0.0,2026-03-17
80,0.0,2026-02-23
81,0.0,2026-03-19
82,0.0,2026-01-22
83,0.0,2026-02-25
84,0.0,2026-03-19
86,0.0,2026-03-11
87,0.0,2026-02-25
88,0.0,2026-02-25
89,0.0,2026-03-25
90,0.0,2026-02-23
91,0.0,2026-03-26
92,0.0,2025-07-25
94,0.0,2026-01-22
95,0.0,2026-03-17
96,0.0,2026-01-22
97,0.0,2026-03-11
98,0.0,2026-03-30
99,0.0,2026-03-30
100,0.0,2026-03-30
101,0.0,2026-02-20
102,0.0,2026-02-20
103,0.0,2026-03-31
104,0.0,2026-03-19
105,0.0,2025-08-23
106,0.0,2025-02-12
107,0.0,2026-03-17
109,0.0,2026-03-17
110,0.0,2026-03-17
113,0.0,2026-02-20
114,0.0,2026-03-13
115,0.0,2026-03-13
116,0.0,2026-02-20
117,0.0,2026-01-22
120,0.0,2026-03-13
122,0.0,2026-03-19
123,0.0,2026-03-20
124,0.0,2026-02-20
125,0.0,2026-03-31
126,0.0,2026-03-11
127,0.0,2026-02-20
128,0.0,2025-10-17
129,0.0,2026-03-17
131,0.0,2026-03-11
132,0.0,2026-02-11
134,0.0,2026-03-20
135,0.0,2026-03-26
136,0.0,2026-03-31
137,0.0,2026-02-20
138,0.0,2026-03-19
139,0.0,2026-03-25
140,0.0,2026-03-11
141,0.0,2026-02-20
142,0.0,2026-02-19
143,0.0,2026-02-20
144,0.0,2026-03-24
145,0.0,2026-02-20
147,0.0,2026-02-27
149,0.0,2026-03-19
151,0.0,2026-03-19
152,0.0,2026-03-17
153,0.0,2026-02-27
154,0.0,2026-03-17
155,0.0,2026-03-11
156,0.0,2026-03-05
157,0.0,2026-02-20
158,0.0,2026-03-06
159,0.0,2026-02-20
161,0.0,2026-03-31
163,0.0,2026-03-17
164,0.0,2026-03-20
165,0.0,2026-03-17
166,0.0,2026-03-20
168,0.0,2026-02-03
169,0.0,2026-03-20
171,0.0,2026-02-20
172,0.0,2026-03-30
173,0.0,2026-03-31
174,0.0,2026-03-19
175,0.0,2026-02-20
176,0.0,2026-03-13
178,0.0,2026-02-24
179,0.0,2026-03-17
180,0.0,2026-03-24
181,0.0,2026-03-31
183,0.0,2025-07-23
184,0.0,2026-02-24
185,0.0,2026-03-13
187,0.0,2026-03-19
188,0.0,2026-03-24
190,0.0,2026-03-18
191,0.0,2025-07-26
193,0.0,2025-06-27
195,0.0,2026-03-17
196,0.0,2026-02-20
197,0.0,2026-03-13
198,0.0,2026-02-20
199,0.0,2026-01-22
203,0.0,2025-08-28
204,0.0,2026-03-13
205,0.0,2026-03-19
206,0.0,2026-03-13
207,0.0,2026-03-13
208,0.0,2026-03-25
209,0.0,2026-02-20
210,0.0,2026-03-13
211,0.0,2026-02-20
213,0.0,2026-03-17
214,0.0,2026-02-20
215,0.0,2026-03-24
217,0.0,2026-02-20
