Categoria,Segmento,litros,cajas,importe,clientes,fecha_calculo
Cerveza Artesanal,Cerveza Artesanal,170.3,60,126634,9,2026-06-08
Espumantes,Champaña Alta y Premium,823.5,183,862081,6,2026-06-08
RTD,RTD,1780.6,270,490213,18,2026-06-08
RTD (S),RTD (S),29083.8,2562,4728129,50,2026-06-08
Spirits,Nacional,34891.2,8131,51197984,70,2026-06-08
Spirits,Importados,744.9,89,2891232,9,2026-06-08
Vinos de Mesa,Vinos de Mesa,864.0,72,88438,4,2026-06-08
Vinos de guarda,Premium,459.0,102,607164,16,2026-06-08
Vinos de guarda,Super Premium,175.5,39,506718,4,2026-06-08
Vinos de guarda,Ultra Premium,54.0,12,166917,1,2026-06-08
Vinos del año,Alto,7690.5,1709,5561426,93,2026-06-08
Vinos del año,Medio Alto,2182.5,485,1274867,55,2026-06-08
Vinos del año,Superior,1282.5,285,1327004,27,2026-06-08
Vinos del año,Medio,459.0,102,217783,15,2026-06-08
