cliente_id,categoria,producto,fecha,cajas
476,escala,Smirnoff Flavours,2026-06-01,36
476,escala,Smirnoff Flavours,2026-06-16,30
1399,escala,Smirnoff Flavours,2026-06-16,36
1408,escala,Alma Mora,2026-06-12,2
1409,escala,Alma Mora,2026-06-06,1
1425,escala,Alma Mora,2026-06-09,12
1428,escala,Alma Mora,2026-06-10,12
1428,escala,Smirnoff Flavours,2026-06-10,12
1428,escala,Smirnoff Flavours,2026-06-11,12
390,plan_frio,Six Pack Smirnoff ICE,2026-06-04,6
7219,plan_frio,Six Pack Smirnoff ICE,2026-06-16,6
30017,plan_frio,Six Pack Smirnoff ICE,2026-06-09,6
30063,plan_frio,Six Pack Smirnoff ICE,2026-06-01,6
30063,plan_frio,Six Pack Smirnoff ICE,2026-06-16,24
