codigo_producto,descripcion_art,bodega,segmento,linea_comercial,categoria,criterio_faltante
14605,TERMIDOR 2021 TINTO 12X1L,Vinos de Mesa,Vinos de Mesa,Termidor Brik,Vinos de Mesa,Categoria no es 'Vinos del año'; validar contra Tags Gescom
14516,TERMIDOR EDGE ABOCADO 12X1L,Vinos de Mesa,Vinos de Mesa,Termidor Brik,Vinos de Mesa,Categoria no es 'Vinos del año'; validar contra Tags Gescom
14606,TERMIDOR 2021 BLANCO 12X1L,Vinos de Mesa,Vinos de Mesa,Termidor Brik,Vinos de Mesa,Categoria no es 'Vinos del año'; validar contra Tags Gescom
14578,TERMIDOR BLANCO DULCE 12x1000,Vinos de Mesa,Vinos de Mesa,Termidor Brik,Vinos de Mesa,Categoria no es 'Vinos del año'; validar contra Tags Gescom
14583,FRIZZE EVOL BLUE NEW 6X1000,Frizze,RTD,Frizze,RTD,Categoria no es 'Vinos del año'; validar contra Tags Gescom
14619,FRIZZE BUBBLE MOOD 6X1000,Frizze,RTD,Frizze,RTD,Categoria no es 'Vinos del año'; validar contra Tags Gescom
14594,FRIZZE BLUE LATA NEW 4X6X473,Frizze,RTD,Frizze,RTD,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74750,TR TESORO MALBEC 6X750,Trapiche,Premium,Tesoro,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
51943,LA MASCOTA MALBEC 6X750,Mascota Vineyards,Premium,La Mascota,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
51945,LA MASCOTA CAB.SAUV 6X750,Mascota Vineyards,Premium,La Mascota,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
51946,LA MASCOTA CHARDONNAY 6X750,Mascota Vineyards,Premium,La Mascota,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
54017,LA MASCOTA ROSE 6X750,Mascota Vineyards,Premium,La Mascota,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74376,PAZ DE FLM MALBEC 6X750,Finca Las Moras,Premium,Paz de Finca las Moras,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74377,PAZ DE FLM CABS/CABF 6X750,Finca Las Moras,Premium,Paz de Finca las Moras,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74378,PAZ DE FLM SYRAH 6X750,Finca Las Moras,Premium,Paz de Finca las Moras,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74402,PAZ DE FLM SAUV BLANC 6X750,Finca Las Moras,Premium,Paz de Finca las Moras,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
72867,FOND CAVE RVA MALBEC 6X750,Trapiche,Premium,Fond de Cave Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74053,FOND CAVE RVA COS TARDIA 6X500,Trapiche,Premium,Fond de Cave Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74117,FOND CAVE RVA CAB.FRANC 6X750,Trapiche,Premium,Fond de Cave Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74118,FOND CAVE RVA PET.VERDOT 6X750,Trapiche,Premium,Fond de Cave Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74140,FOND CAVE RVA SAUVIGNON 6X750,Trapiche,Premium,Fond de Cave Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74144,FOND CAVE RVA CABSAU 6X750,Trapiche,Premium,Fond de Cave Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74414,FOND DE CAVE RVA ENCABEZADO 6X500,Trapiche,Premium,Fond de Cave Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74443,FOND CAVE RVA CHARDONNAY 6X750,Trapiche,Premium,Fond de Cave Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44296,DON DAVID RESERVA MALBEC 6x750,El Esteco,Premium,Don David Rva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44297,DON DAVID RESERVA CABERNET 6x750,El Esteco,Premium,Don David Rva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44326,DON DAVID RVA MLB-TANNAT 6X750,El Esteco,Premium,Don David Rva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44360,DON DAVID RVA SAUV.BLANC 6X750,El Esteco,Premium,Don David Rva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80030,NC RESERVA CAB SAUV 6X750,Navarro Correas,Premium,NC Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80031,NC RESERVA CHARD 6X750,Navarro Correas,Premium,NC Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80032,NC RESERVA MALBEC 6X750,Navarro Correas,Premium,NC Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74555,TRAPICHE PURO MALBEC 6X750 ,Trapiche,Premium,Puro-Impuro,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74556,TRAPICHE IMPURO MALBEC 6X750 ,Trapiche,Premium,Puro-Impuro,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
