vendedor,segmento_norm,clientes,venta,botellas,cobertura,clientes_dia,venta_dia,botellas_dia,cobertura_dia
V10,otros,17,0.0,3814,100,0.0,0.0,0.0,0.0
V20,otros,1,0.0,12,1,0.0,0.0,0.0,0.0
V3,otros,3,0.0,18,2,0.0,0.0,0.0,0.0
V4,otros,19,0.0,379,41,0.0,0.0,0.0,0.0
V6,otros,20,8219.0,712,32,0.0,0.0,0.0,0.0
V8,on_premise,1,0.0,48,3,0.0,0.0,0.0,0.0
V8,otros,29,0.0,1185,134,0.0,0.0,0.0,0.0
V9,autoservicio,1,0.0,6,0,0.0,0.0,0.0,0.0
V9,otros,25,0.0,612,56,0.0,0.0,0.0,0.0
V9,tradicional,1,0.0,30,8,0.0,0.0,0.0,0.0
