tipo,descuento,clientes_impactados,importe_neto,inversion_estimada,lineas
DESCUENTO,30%,4,38637.0,16559.0,4
DESCUENTO,25%,32,591623.0,197207.0,38
DESCUENTO,20%,7,865640.0,216410.0,18
DESCUENTO,19%,1,5239306.0,1228974.0,9
DESCUENTO,18%,1,18002.0,3952.0,1
DESCUENTO,17%,20,3445071.0,705618.0,70
DESCUENTO,15%,124,154915921.0,27338179.0,501
DESCUENTO,14%,1,7457100.0,1213949.0,2
DESCUENTO,13%,35,983171.0,146910.0,72
DESCUENTO,12%,8,4441150.0,605610.0,59
DESCUENTO,10%,776,42645781.0,4738407.0,2835
DESCUENTO,8%,16,1437898.0,125035.0,99
DESCUENTO,7%,16,2873152.0,216259.0,38
DESCUENTO,6%,198,20562055.0,1312473.0,756
DESCUENTO,5%,62,2211899.0,116415.0,127
DESCUENTO,4%,8,184279.0,7678.0,60
DESCUENTO,3%,15,2871884.0,88821.0,45
SIN_CARGO,100%,41,0,0,175
