Codigo,Categoria,Segmento,Linea Comercial,Lts x caja,UxC
14605,Vinos de Mesa,Vinos de Mesa,Termidor Brik,12.0,12
14516,Vinos de Mesa,Vinos de Mesa,Termidor Brik,12.0,12
14606,Vinos de Mesa,Vinos de Mesa,Termidor Brik,12.0,12
14578,Vinos de Mesa,Vinos de Mesa,Termidor Brik,12.0,12
20250,Vinos del año,Medio,Varietales Suter,4.5,6
20251,Vinos del año,Medio,Varietales Suter,4.5,6
20255,Vinos del año,Medio,Varietales Suter,4.5,6
20301,Vinos del año,Medio,Etiqueta Marron Suter,4.5,6
80002,Vinos del año,Medio,San Telmo,4.5,6
80004,Vinos del año,Medio,San Telmo,4.5,6
14583,RTD,RTD,Frizze,6.0,6
14620,RTD,RTD,Frizze,6.0,6
14619,RTD,RTD,Frizze,6.0,6
14594,RTD,RTD,Frizze,11.352,24
70750,Vinos del año,Medio Alto,Alaris,4.5,6
70751,Vinos del año,Medio Alto,Alaris,4.5,6
71704,Vinos del año,Medio Alto,Alaris,4.5,6
71716,Vinos del año,Medio Alto,Alaris,4.5,6
71706,Vinos del año,Medio Alto,Alaris,4.5,6
72541,Vinos del año,Medio Alto,Alaris,4.5,6
74058,Vinos del año,Medio Alto,Alaris,4.5,6
74263,Vinos del año,Medio Alto,Alaris,4.5,6
74188,Vinos del año,Medio Alto,Alaris,4.5,6
74478,Vinos del año,Medio Alto,Alaris,4.5,6
72857,Vinos del año,Medio Alto,Finca Las Moras,4.5,6
72858,Vinos del año,Medio Alto,Finca Las Moras,4.5,6
72859,Vinos del año,Medio Alto,Finca Las Moras,4.5,6
74735,Vinos del año,Medio Alto,Finca Las Moras,4.5,6
74167,Vinos del año,Medio Alto,Finca Las Moras,4.5,6
74509,Vinos del año,Medio Alto,Finca Las Moras,4.5,6
74510,Vinos del año,Medio Alto,Finca Las Moras,4.5,6
80007,Vinos del año,Medio Alto,Los Arboles,4.5,6
80008,Vinos del año,Medio Alto,Los Arboles,4.5,6
80010,Vinos del año,Medio Alto,Los Arboles,4.5,6
80089,Vinos del año,Medio Alto,Los Arboles,4.5,6
74814,Vinos del año,Alto,El Cazador,4.5,6
74815,Vinos del año,Alto,El Cazador,4.5,6
74816,Vinos del año,Alto,El Cazador,4.5,6
14507,Vinos del año,Medio Alto,El Bautismo,4.5,6
14508,Vinos del año,Medio Alto,El Bautismo,4.5,6
14509,Vinos del año,Medio Alto,El Bautismo,4.5,6
74786,Vinos del año,Medio Alto,El Bautismo,4.5,6
74726,Vinos del año,Alto,Origen By Trapiche,4.5,6
74727,Vinos del año,Alto,Origen By Trapiche,4.5,6
42101,Vinos del año,Alto,ELEMENTOS,4.5,6
42102,Vinos del año,Alto,ELEMENTOS,4.5,6
44395,Vinos del año,Alto,ELEMENTOS,4.5,6
42103,Vinos del año,Alto,ELEMENTOS,4.5,6
42104,Vinos del año,Alto,ELEMENTOS,4.5,6
42105,Vinos del año,Alto,ELEMENTOS,4.5,6
42107,Vinos del año,Alto,ELEMENTOS,4.5,6
42113,Vinos del año,Alto,ELEMENTOS,4.5,6
44314,Vinos del año,Alto,ELEMENTOS,4.5,6
74208,Vinos del año,Alto,Alma Mora,4.5,6
74209,Vinos del año,Alto,Alma Mora,4.5,6
74210,Vinos del año,Alto,Alma Mora,4.5,6
74211,Vinos del año,Alto,Alma Mora,4.5,6
74827,Vinos del año,Alto,Alma Mora,4.5,6
74397,Vinos del año,Alto,Alma Mora,4.5,6
74398,Vinos del año,Alto,Alma Mora,4.5,6
74437,Vinos del año,Alto,Alma Mora,4.5,6
