mpa_nombre,codigo,descripcion_erp,tipo,nota
Alaris Dulce Cosecha Dulce Natural 0.75L,74188,TRAPICHE DULCE COSECHA 6X750,sku,el ERP tiene TINTO (74840) y ROSE (74478) con el color en el nombre; 74188 es el base
Alaris Malbec 0.75L,71704,TRAPICHE ALARIS MALBEC 6X750,sku,
Alaris Sauvignon Blanc 0.75L,71706,TRAPICHE ALARIS SBLANC 6X750,sku,
Alaris Torrontes 0.75L,74263,TRAPICHE ALARIS TORRNTES 6X750,sku,
Alma Mora Blanco Dulce 0.75L,74827,ALMA MORA BLANCO DULCE LOW    6X750,sku,
Alma Mora Cabernet Sauvignon 0.75L,74208,ALMA MORA CABSAUV6X750,sku,
Alma Mora Merlot 0.75L,74736,ALMA MORA MERLOT 6X750,sku,
Alma Mora Select Reserve Malbec 0.75L,74608,ALMA MORA SEL RVE MALBEC 6X750 (74608),sku,
Antares Ipa lata 0.473L,60017,ANTARES IPA LATA 6X473 (New),sku,"60019 es ANTARES IPA SIN ALC, producto distinto"
Antares Lager lata 0.473L,60018,ANTARES LAGER LATA 6X473,sku,
Baileys Original 0.75L bottle,30012,BAILEYS NUEVA BOTELLA 12x750,sku,
Dada 3 Syrah - Cabernet 0.75L,74394,DADA FMORAS N°3 6X750,sku,
Dada 8 Chocolat 0.75L,74569,DADA N° 8 Chocolate 6X750,sku,
Dada 9 Caramel 0.75L,74748,DADA N°9 CARAMEL 6X750,sku,
Don David Reserva Malbec 0.75L,44296,DON DAVID RESERVA MALBEC 6x750,sku,
Finca Las Moras Varietales Cabernet Sauvignon 0.75L,72857,F.LAS MORAS CABSAU 6X750,sku,
Fond de Cave Malbec 0.75L,74146,FOND CAVE MALBEC 6X750,sku,
Fond De Cave Reserva Malbec 0.75L,72867,FOND CAVE RVA MALBEC 6X750,sku,
Frizze Evolution Blue 1L,14583,FRIZZE EVOL BLUE NEW 6X1000,sku,
Gordon´s tonic RTD can 0.473 L,35107,Gordon´s Tonic 4X6X473 (35107),sku,
Gordon’s Premium Pink Distilled Gin Glass Bottle 0.7L,30134,GORDON´S PINK GIN 6x700 (30134),sku,
Gordon's Dry Gin 0.7L bottle,30075,GORDON´S GIN 6x700,sku,
J&B Rare 0.75L bottle,30010,J&B RARE 12X750,sku,
Smirnoff Ice Green Apple lata 0.473L,35104,SMF ICE GREENAPPLE LAT 4X6X473 (35104),sku,
Smirnoff Ice Original lata 0.473L,35103,SMIRNOFF ICE LATA 4X6X473 (35103),sku,
Smirnoff Watermelon 0.7L bottle,30065,SMIRNOFF WATERMELON 6X700,sku,
Navarro Correas Extra Brut 0.75L,80048,SPARK NC EBRUT 6X750 PREM,sku,
Smirnoff No.21 Red Vodka 0.7L bottle,30019,SMIRNOFF 21 DO 12X700,sku,
Colección Privada Malbec 0.75L,80022,COLECC PRIV MALBEC 6X750,sku,
Don David Malbec 0.75L,41682,D.DAVID MALBEC 6X750,sku,"44296 es la linea Reserva, va en su propia fila"
Trapiche Reserva Malbec 0.75L,74419,TRAPICHE RESERVA MALBEC 6X750,sku,
Intocables Tinto Malbec 0.75L,74570,LOS INTOCABLES MALBEC 6X750,sku,
Smirnoff Raspberry 0.7L bottle,30022,SMIRNOFF RASPBERRY DO 6X700,sku,
Alma Mora Malbec 0.75L,74210,ALMA MORA MALBEC 6X750,sku,
Elementos Malbec 0.75L,42102,ELEMENTOS MALBEC 6X750,sku,
Smirnoff Green Apple 0.7L bottle,30020,SMIRNOFF GREEN APPLE DO 6X700,sku,
Tanqueray London Dry Gin 0.75L bottle,30130,TANQUERAY DRY GIN 6X700,sku,
White Horse Fine Old Blended Whisky 0.75L bottle,30023,WHITE HORSE DO 12X750,sku,
JW Black Label 0.75L bottle,30003,JW BLACK LABEL 12x750,sku,
Dada Art 391 Malbec - Cereza 0.75L,74504,DADA ART MALBEC 6X750,sku,
Suter Etiqueta Marron Blanco Dulce 0.75L,20301,SUTER ETIQ MARRON DNAT 6X750,sku,
Finca Las Moras Malbec 0.75L,72859,F.LAS MORAS MALBEC 6X750,sku,
Suter Malbec 0.75L,20251,SUTER VARIETAL MALBEC 6X750,sku,
San Telmo Malbec 0.75L,80004,SAN TELMO SEL MALBEC 6X750,sku,
Los Arboles Malbec 0.75L,80010,LOS ARBOLES SEL MALBEC 6X750,sku,
Elementos Cabernet Sauvignon 0.75L,42101,ELEMENTOS CABSAUV 6X750,sku,
San Telmo Extra-Brut,80093,SAN T SPARK E.BRUT 6X750,sku,
Los Arboles Wine Red Blend Glass Bottle 750 ml,80089,LOS ARBOLES SEL RED BLEND 6X750,sku,
Dada 2 Merlot 0.75L,74395,DADA FMORAS N°2 6X750,sku,
El Bautismo Malbec 0.75L,14507,EL BAUTISMO MALBEC 6X750,sku,
Los Arboles Cabernet Sauvignon 0.75L,80007,LOS ARBOLES SEL CABERNET 6X750,sku,
Finca Las Moras Varietales Blanco Dulce 0.75L,74509,F.LAS MORAS BCO.DLCE 6X750,sku,
Dada 1 Malbec - Bonarda - Vainilla 0.75L,74393,DADA FMORAS N°1 6X750,sku,
JW Red Label 0.75L bottle,30001,JW RED 12X750 UK,sku,
Termidor Tradición Tinto 1L,14605,TERMIDOR 2021 TINTO 12X1L,sku,
Smirnoff Ice Red Berries lata 0.473L,35105,SMF ICE RED BERRIE LAT 4X6X473 (35105),sku,
Antares,60001,ANTARES KOLSCH LATA 6X473 (60001),grupo,
Antares,60002,ANTARES SCOTCH LATA 6X473 (60002),grupo,
Antares,60007,ANTARES CARAVANA LATA 6X473 (60007),grupo,
Antares,60008,ANTARES HONEY LATA 6X473 (60008),grupo,
Antares,60015,ANTARES PLAYA GRANDE LATA6x473 (60015),grupo,
Antares,60017,ANTARES IPA LATA 6X473 (New),grupo,
Antares,60018,ANTARES LAGER LATA 6X473,grupo,
Antares,60019,ANTARES IPA SIN ALC LATA 6X473,grupo,
Antares,60020,ANTARES XPA LATA 6x473,grupo,
Antares,60021,ANTARES LAGER PORRON 6X330,grupo,
Antares,60022,ANTARES LAGER BOTELLA 6X660,grupo,
Smirnoff ICE Flavors,35104,SMF ICE GREENAPPLE LAT 4X6X473 (35104),grupo,
Smirnoff ICE Flavors,35105,SMF ICE RED BERRIE LAT 4X6X473 (35105),grupo,
Smirnoff Flavors 700 ml,30020,SMIRNOFF GREEN APPLE DO 6X700,grupo,
Smirnoff Flavors 700 ml,30022,SMIRNOFF RASPBERRY DO 6X700,grupo,
Smirnoff Flavors 700 ml,30065,SMIRNOFF WATERMELON 6X700,grupo,
Smirnoff Flavors 700 ml,30131,SMIRNOFF TROPICAL FRUITS 6X700 (30131),grupo,
Smirnoff Flavors 700 ml,30135,SMIRNOFF TAMARINDO 6X700 (30135),grupo,
