accion_id,mes,vigencia_desde,vigencia_hasta,tipo_accion,canal,segmento_cliente,categoria,lineas_segmentos,productos_incluidos,productos_excluidos,condicion_original,unidad_condicion,cantidad_min,cantidad_max,beneficio_tipo,descuento_pct,bonif_compra_cajas,bonif_entrega_cajas,tope_cajas,retiro_deposito,descuento_retiro_deposito_pct,acumulable,prioridad_regla,requiere_validacion,observaciones,fuente,accion_grupo,accion_nombre
MAY26-GRAL-AS-VIN-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,1 a 9 cajas -> 6% Dto,CAJA,1,9.0,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,30,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-VIN-AS,Drop Vinos — Autoservicios
MAY26-GRAL-AS-VIN-002,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,10 a 20 cajas -> 8% Dto,CAJA,10,20.0,DESCUENTO,0.08,,,,NO,,NO_DEFINIDO,20,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-VIN-AS,Drop Vinos — Autoservicios
MAY26-GRAL-AS-VIN-003,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,20 cajas o más -> 10% Dto,CAJA,20,,DESCUENTO,0.1,,,,NO,,NO_DEFINIDO,10,SI,Existe solapamiento textual en 20 cajas con la regla anterior; usar prioridad más alta/mayor descuento.,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-VIN-AS,Drop Vinos — Autoservicios
MAY26-GRAL-TRAD-VIN-001,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,0 a 3 cajas -> 6% Dto,CAJA,1,3.0,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,30,SI,Texto original dice 0 a 3; para análisis de ventas reales se normaliza mínimo 1.,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-VIN-TRAD,Drop Vinos — Tradicional
MAY26-GRAL-TRAD-VIN-002,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,4 cajas o más -> 10% Dto,CAJA,4,,DESCUENTO,0.1,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-VIN-TRAD,Drop Vinos — Tradicional
MAY26-GRAL-AS-RTD-FRZ-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,RTD,FRIZZE,FRIZZE,,1 pack o más -> 5% Dto,PACK,1,,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-FRIZZE-AS,Drop Frizze — Autoservicios
MAY26-GRAL-TRAD-RTD-FRZ-001,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,RTD,FRIZZE,FRIZZE,,1 a 30 cajas -> 5% Dto,CAJA,1,30.0,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-FRIZZE-TRAD,Drop Frizze — Tradicional
MAY26-GRAL-AS-RTD-LAT-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,RTD LATAS,Gordons Tonic; Smirnoff BC; Antares,GORDONS TONIC; SMIR BC; ANTARES,,1 pack o más -> 5% Dto,PACK,1,,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-LATAS-AS,Drop RTD Latas — Autoservicios
MAY26-GRAL-TRAD-RTD-LAT-001,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,RTD LATAS,Gordons Tonic; Smirnoff BC; Antares,GORDONS TONIC; SMIR BC; ANTARES,,1 pack o más -> 5% Dto,PACK,1,,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-LATAS-TRAD,Drop RTD Latas — Tradicional
MAY26-GRAL-AS-SPI-LOC-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,SPIRITS LOCALES,Familia Smirnoff y Gordons; White Horse; J&B,FAMILIA SMIRNOFF Y GORDONS; WHITE HORSE; J&B,,1 caja o más -> 6%,CAJA,1,,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1,DROP-SPI-LOC-AS,Drop Spirits Locales — Autoservicios
